district;city;name;jan2021;feb2021;mar2021;apr2021;may2021;jun2021;jul2021;aug2021;sep2021;oct2021;nov2021;dec2021;jan2022;feb2022;mar2022;apr2022;may2022;jun2022;jul2022;aug2022;sep2022;oct2022;nov2022;dec2022;jan2023;feb2023;mar2023;apr2023;may2023;jun2023;jul2023;aug2023;sep2023;oct2023;nov2023;dec2023;jan2024;feb2024;mar2024;apr2024;may2024;jun2024;jul2024;aug2024;sep2024
Тюменская область, Ханты-Мансийский автономный округ и Ямало-Ненецкий автономный округ;Нижневартовск;Нижневартовск;124.93;124.29;124.29;126.39;126.39;126.39;117.39;111.49;118.72;109.12;111.78;108.33;116.18;122.85;153.29;181.55;185.71;181.68;162.94;162.94;158.94;156.02;168.07;154.69;177.31;177.31;174.3;179.76;179.76;184.53;172.9;169.46;169.46;151.2;151.2;142.16;165.62;151.73;162.28;149.49;170.26;161.66;180.49;180,49;158,6
Тюменская область, Ханты-Мансийский автономный округ и Ямало-Ненецкий автономный округ;Сургут;Сургут;103.46;102.5;100.65;100.65;100.65;104.3;107.58;107.57;109.16;114.98;115.38;115.38;118.2;97.5;123.06;127.07;132.82;131.89;131.89;123.69;131.8;127.02;135.15;130.26;130.7;130.7;132.45;132.45;130.17;125.54;125.54;121.73;118.15;127.64;121.52;124.65;125.5;129.02;127.59;132.74;127.46;127.46;125.24;124,92;130,55
Тюменская область, Ханты-Мансийский автономный округ и Ямало-Ненецкий автономный округ;Белоярский;Белоярский;92.54;99.15;87.07;87.07;100.98;100.98;93.98;94.13;97.23;96.93;91.53;91.67;88.2;89.16;99.31;111.28;108.59;111.4;116.24;111.4;111.14;127.49;129.15;128.94;129.59;129.38;129.07;129.63;128.36;126.82;126.62;129.07;129.07;136.21;130.85;128.12;130.85;130.5;132.66;133.28;130.87;130.87;127.91;135,24;131,86
Тюменская область, Ханты-Мансийский автономный округ и Ямало-Ненецкий автономный округ;Салехард;Салехард;185.03;185.03;185.03;185.03;185.03;169.34;169.34;172.01;172.01;172.01;174.04;174.04;174.04;183.0;220.36;223.05;217.53;213.78;213.78;213.78;213.78;213.78;213.78;213.78;213.78;213.78;213.78;230.42;230.42;229.62;229.62;229.62;229.62;235.23;235.23;235.23;240.74;241.58;241.58;241.58;241.58;259.02;240.21;233,87;244,12
Тюменская область, Ханты-Мансийский автономный округ и Ямало-Ненецкий автономный округ;Надым;Надым;129.02;131.83;129.46;127.15;127.15;128.4;127.78;132;130.93;130.26;134.5;126.32;135.8;102.42;144.47;143.77;148.01;145.52;140.61;140.61;139.17;139.99;146.31;146.08;149.67;149.67;149.67;145.13;145.13;145.13;145.13;145.14;143.01;143.25;143.12;146.99;139.1;147.23;148.92;151.13;145.08;145.31;151.53;136,76;137,25
Тюменская область, Ханты-Мансийский автономный округ и Ямало-Ненецкий автономный округ;Новый Уренгой;Новый Уренгой;104.89;102.03;110.43;112.58;116.09;116.09;118;121.12;117.77;120.14;121.45;120.5;106.18;107.08;161.33;169.76;193.68;190.37;190.19;184.0;188.2;190.82;190.64;187.46;187.06;187.27;184.07;188.94;193.96;193.96;194.21;186.4;183.23;194.48;188.99;188.58;186.81;183.94;188.16;189.83;189.56;183.44;185.57;177,38;178,57
Тюменская область, Ханты-Мансийский автономный округ и Ямало-Ненецкий автономный округ;Ноябрьск;Ноябрьск;119.89;120.15;117.99;119.33;117.99;120.04;120.05;118.68;120.86;120.86;120.86;123.53;123.01;122.0;128.36;129.87;141.31;146.69;168.3;165.99;167.68;169.85;174.32;182.54;181.46;181.46;181.46;182.13;182.53;181.42;181.68;182.07;182.07;182.07;176.18;176.18;167.29;172.27;175.23;187.44;175.23;172.88;172.88;172,88;172,88
Тюменская область, Ханты-Мансийский автономный округ и Ямало-Ненецкий автономный округ;Тюмень;Тюмень;97.84;97.84;94.84;97.73;96.41;96.41;99.76;99.21;101.77;102.13;103.18;100.31;100.31;99.77;114.2;103.85;122.05;121.97;121.93;115.09;125.18;129.68;131.26;132.96;132.17;132.17;127.24;126.66;127.05;134.81;127.43;128.68;130.47;129.89;125.69;129.29;103.67;103.67;103.67;103.67;100.49;100.49;104.78;101,89;98,74
Тюменская область, Ханты-Мансийский автономный округ и Ямало-Ненецкий автономный округ;Ишим;Ишим;79.04;79.04;79.04;78.32;78.32;80.16;80.16;80.16;80.16;86.45;86.45;86.45;88.31;88.55;112.92;112.92;112.92;114.93;114.93;138.06;138.06;144.74;146.75;141.42;132.42;132.42;136.27;136.27;134.4;131.2;131.4;124.5;123.29;148.82;139.01;139.01;155.19;152.03;134.35;132.37;134.35;134.35;117.59;118,4;120,65
Тюменская область, Ханты-Мансийский автономный округ и Ямало-Ненецкий автономный округ;Тобольск;Тобольск;99.96;98.67;102.7;104.18;92.34;98.94;102.21;113.94;123.76;116.98;99.76;102.16;115.73;115.38;121.7;117.04;111.44;111.86;111.86;123.62;120.24;120.24;119.83;113.54;113.22;115.36;115.36;114.24;117.64;115.26;115.78;110.83;113.0;116.83;113.47;113.47;117.06;107.78;111.76;110.12;114.42;111.9;107.26;110,17;113,17
Челябинская область;Другое;Челябинская область;74.38;75.84;75.4;75.05;76.35;74.63;77.37;77.93;79.08;79.45;77.03;80.54;82.87;83.51;93.07;108.76;108.31;107.56;107.09;108.21;109.48;113.08;116.3;121.55;118.95;120.42;121.85;121.02;122.28;120.23;120.51;121.41;119.86;120.74;119.84;115.54;116.92;117.7;117.14;120.04;117.58;116.46;113.4;117,72;119,07
Челябинская область;Челябинск;Челябинск;84.85;86.61;84.76;84.76;88.78;83.89;90.9;92.84;94.69;94.39;89.52;97.46;103.87;105.73;122.55;138.13;140.05;134.76;129.0;131.78;129.86;129.86;135.78;147.3;139.05;140.92;146.32;144.76;144.76;144.76;143.73;144.76;138.09;140.89;139.46;127.22;129.94;132.1;132.1;137.7;133.3;132.1;126.77;135,87;135,87
